Topic,Prompt,Answer,Difficulty,Quiz Only,Hints
integers,"Solve 3 + 2 x 4","11",easy,false,"Follow Order of Operations (brackets - exponents - multiplication/division - addition/subtraction) || Do multiplication before addition || Solve (2x4) first, then add 3"
integers,"Solve 6 - 2 x 3","0",easy,true,"Follow Order of Operations || Multiply before subtracting || Solve (2x3) first, then subtract from 6"
integers,"Solve 1 + 5 x 2","11",easy,false,"Follow Order of Operations || Multiply before adding || Solve (5x2), then add 1"
integers,"Solve 10 - 3 x 2","4",easy,false,"Follow Order of Operations || Multiplication comes first || Solve (3x2) then subtract from 10"
integers,"Solve 2 + 4 x 3","14",easy,false,"Follow Order of Operations || Multiply before adding || Solve (4x3), then add 2"
integers,"Solve 4 + 2^2","8",easy,true,"Follow Order of Operations || Exponents before addition || Calculate 2^2, then add 4"
integers,"Solve 9 - 2^2","5",easy,false,"Follow Order of Operations || Calculate exponent first || Evaluate 2^2, then subtract"
integers,"Solve 8 + 6 / 3","10",easy,false,"Follow Order of Operations || Divide before adding || Solve (6/3), then add 8"
integers,"Solve 15 / 3 + 1","6",easy,true,"Follow Order of Operations || Division comes before addition || Solve (15/3), then add 1"
integers,"Solve 20 / 5 - 1","3",easy,false,"Follow Order of Operations || Divide first || Solve (20/5), then subtract 1"
integers,"Solve 7 + 4 / 2","9",easy,true,"Follow Order of Operations || Division before addition || Solve (4/2), then add 7"
integers,"Solve 3 x 4 - 2","10",easy,false,"Follow Order of Operations || Multiply before subtracting || Solve (3x4), then subtract 2"
integers,"Solve 2 x 5 + 3","13",easy,true,"Follow Order of Operations || Multiply first || Add 3 after solving (2x5)"
integers,"Solve 8 - 6 / 2","5",easy,false,"Follow Order of Operations || Divide first || Solve (6/2), then subtract from 8"
integers,"Solve 12 / 4 + 5","8",easy,false,"Follow Order of Operations || Division before addition || Solve (12/4), then add 5"
integers,"Which is greater: -2 or 5?","5",easy,false,"Compare using the number line || Positive integers are always greater than negative integers || Choose the value farther to the right"
integers,"Which is smaller: -7 or -1?","-7",easy,false,"Compare negative integers || Larger negative number = smaller || Choose the value farther left"
integers,"Order from least to greatest: 3, -1, 5","-1, 3, 5",easy,false,"Start with negative numbers, then order positives || Positive integers are always greater than negative integers || Arrange from smallest to largest"
integers,"Order from greatest to least: -3, 4, 2","4, 2, -3",easy,false,"Positive integers come first || Then place negatives || Order from largest to smallest"
integers,"Compare using < or > : 6 ___ 2","6 > 2",easy,false,"Compare integer values || Larger number is greater || 3 is greater than 1"
integers,"Compare using < or > : -4 ___ -6","-4 > -6",easy,false,"Compare negative values || Less negative = greater || -1 is greater than -9"
integers,"Solve 9 + 0","9",easy,false,"What is the rule for adding 0? || a + 0 = a || Adding zero does not change the number"
integers,"Solve 6 x 1","6",easy,false,"What is the rule for multiplying by 1? || a x 1 = a || Multiplying by 1 keeps the value the same"
integers,"Solve 0 x 23","0",easy,false,"What is the rule for multiplying by 0? || a x 0 = 0 || Anything times zero equals zero"
integers,"Solve 18 - 0","18",easy,false,"What is the rule for subtracting 0? || a - 0 = a || Subtracting zero keeps the number the same"
integers,"Solve (3 + 2) x 4","20",medium,false,"Follow Order Of Operations || Solve the bracket part first || Multiply the bracket value by 4"
integers,"Solve (10 - 4) x 3","18",medium,false,"Follow Order Of Operations || Evaluate the bracket expression || Multiply the bracket result by 3"
integers,"Solve (5 + 7) / 3","4",medium,true,"Follow Order Of Operations || Add the values inside the bracket || Divide the bracket total by 3"
integers,"Solve 2 x (3 + 5)","16",medium,false,"Follow Order Of Operations || Work out the number inside the bracket || Multiply 2 by the bracket result"
integers,"Solve (12 / 3) + 7","11",medium,true,"Follow Order Of Operations || Perform the operation in the bracket || Add 7 to the bracket result"
integers,"Solve 5 x (2 - 6)","-20",medium,false,"Follow Order Of Operations || Solve the expression inside the bracket || Multiply 5 by the bracket value"
integers,"Solve (7 - 9) + 4","2",medium,false,"Follow Order Of Operations || Evaluate the bracketed subtraction || Add 4 to the bracket result"
integers,"Solve 3 + (4 x -2)","-5",medium,false,"Follow Order Of Operations || Multiply the numbers inside the bracket || Add the bracket value to 3"
integers,"Solve (2 x -3) + 5","-1",medium,true,"Follow Order Of Operations || Calculate the multiplication inside the bracket || Add 5 to the bracket result"
integers,"Solve -8 + (2 x 6)","4",medium,false,"Follow Order Of Operations || Perform the multiplication in the bracket || Add the bracket value to -8"
integers,"Solve 10 x (0 - 4)","-40",medium,false,"Follow Order Of Operations || Solve the negative bracket || Multiply 10 by the bracket result"
integers,"Solve (3^2 + 4) x 2","26",medium,true,"Follow Order Of Operations || Calculate the exponent and addition inside the bracket || Multiply the bracket total by 2"
integers,"Solve (6 + 2)^2","64",medium,true,"Follow Order Of Operations || Solve the bracket expression || Apply the exponent to the bracket value"
integers,"Solve (10 - 3)^2 - 4","45",medium,false,"Follow Order Of Operations || Evaluate the bracket expression || Apply the exponent and complete subtraction"
integers,"Solve 14 / (7 - 5)","7",medium,false,"Follow Order Of Operations || Work out the value of the bracket || Divide 14 by the bracket value"
integers,"Solve (2 x 3 x 4) / 2","12",medium,false,"Follow Order Of Operations || Multiply all numbers inside the bracket || Divide the bracket value by 2"
integers,"Solve (5 + 2 x 3) - 4","7",medium,true,"Follow Order Of Operations || Perform multiplication inside the expression || Complete the remaining operations"
integers,"Solve [(3 + 5) x 2] - 7","9",hard,false,"Follow Order Of Operations || Evaluate the inner bracket expression || Multiply the inner result and subtract 7"
integers,"Solve [10 - (3 + 2)] x 4","20",hard,false,"Follow Order Of Operations || Solve the nested bracket part || Multiply the outer expression by 4"
integers,"Solve 6 - [4 x (2 + 1)]","-6",hard,true,"Follow Order Of Operations || Evaluate the inside bracket first || Multiply the outer numbers before subtracting"
integers,"Solve (2 + 3) x (4 - 7)","-15",hard,false,"Follow Order Of Operations || Solve both brackets independently || Multiply both bracket results together"
integers,"Solve [5 x (3 - 6)] + 4","-11",hard,false,"Follow Order Of Operations || Work out the bracketed subtraction || Add 4 after the multiplication"
integers,"Solve 10 + [2 x (3^2 - 4)]","20",hard,false,"Follow Order Of Operations || Evaluate the exponent and inner bracket || Add 10 after multiplying inside the bracket"
