correct_rate_topic,avg_time_topic,base_difficulty,mastery,last_hint_level_used,hints_used_topic,will_answer_correct
0.909,34.56,easy,0.815,1,0.74,1
0.014,43.44,easy,0.649,0,0.52,1
0.288,31.42,hard,0.917,0,1.16,1
0.916,31.87,easy,0.736,0,1.42,0
0.249,50.84,easy,0.756,1,0.93,1
0.792,39.16,medium,0.994,0,1.75,0
0.051,30.34,medium,0.1,2,1.42,0
0.349,44.54,easy,0.706,1,0.16,1
0.686,19.27,easy,0.746,0,0.04,1
0.521,20.69,easy,0.857,2,1.59,1
0.24,33.33,medium,0.164,0,1.3,1
0.5,35.75,hard,0.95,3,0.75,1
0.8,32.45,hard,0.99,0,0.47,1
0.705,39.8,easy,0.453,0,0.31,1
0.551,9.69,easy,0.997,0,1.9,1
0.76,35.96,medium,0.833,0,1.94,1
0.69,46.42,easy,0.236,0,1.68,1
0.297,28.87,medium,0.247,2,1.69,0
0.293,15.22,easy,0.768,0,1.39,0
0.265,33.15,easy,0.859,0,0.05,0
0.697,31.69,easy,0.448,2,1.78,1
0.747,41.6,easy,0.01,1,1.95,0
0.849,27.94,easy,0.454,2,2.0,1
0.6,26.51,medium,0.819,0,0.27,0
0.49,19.09,easy,0.024,1,0.29,0
0.847,36.35,medium,0.673,0,0.81,1
0.203,41.74,easy,0.258,0,0.33,1
0.184,28.68,easy,0.604,2,0.22,1
0.544,44.16,medium,0.548,2,0.04,1
0.254,25.46,easy,0.786,3,0.54,1
0.466,2.86,hard,0.317,0,1.39,1
0.197,21.08,easy,0.714,1,0.52,1
0.577,24.2,easy,0.749,0,0.96,1
0.649,40.02,easy,0.34,2,1.55,0
0.711,41.57,hard,0.765,2,1.47,1
0.811,44.71,medium,0.327,2,1.46,1
0.53,18.49,easy,0.402,0,0.05,1
0.396,28.46,medium,0.25,1,0.05,0
0.349,37.15,hard,0.277,1,1.12,0
0.432,7.79,medium,0.78,0,1.58,0
0.994,20.2,easy,0.322,3,0.77,1
0.836,53.47,easy,0.921,1,0.11,1
0.214,34.68,easy,0.687,2,0.79,1
0.627,33.06,medium,0.151,0,1.06,1
0.144,18.26,easy,0.426,2,1.5,1
0.975,14.44,hard,0.159,1,1.41,1
0.788,9.39,medium,0.851,0,1.64,1
0.676,40.3,hard,0.675,2,1.93,0
0.238,34.15,medium,0.718,0,1.55,0
0.481,19.98,medium,0.663,0,0.25,1
0.388,28.82,hard,0.148,0,0.26,0
0.294,24.89,medium,0.209,0,1.29,1
0.05,30.74,medium,0.522,3,1.21,0
0.547,20.53,hard,0.494,2,1.96,1
0.206,41.53,hard,0.253,0,1.11,0
0.592,13.76,easy,0.961,1,0.13,1
0.707,20.15,easy,0.926,2,1.08,1
0.739,42.1,hard,0.448,2,0.93,1
0.858,42.59,easy,0.681,0,0.21,1
0.101,27.94,easy,0.302,0,0.19,1
0.277,17.45,easy,0.544,0,1.86,1
0.047,30.42,medium,0.672,2,0.61,1
0.154,40.97,easy,0.198,2,1.98,1
0.252,41.04,easy,0.063,0,0.85,0
0.886,30.35,easy,0.137,1,1.29,0
0.133,44.69,hard,0.464,3,0.74,0
0.639,33.17,medium,0.31,0,0.14,1
0.026,20.7,easy,0.951,3,0.59,1
0.869,36.15,easy,0.874,3,0.16,1
0.371,30.93,easy,0.561,1,0.17,1
0.844,19.42,medium,0.948,0,0.35,1
0.71,25.0,easy,0.186,0,0.12,1
0.676,34.43,easy,0.001,2,1.29,0
0.997,40.69,medium,0.238,0,0.46,0
0.74,47.09,easy,0.479,0,0.41,1
0.633,45.95,easy,0.578,1,1.17,1
0.648,33.5,medium,0.522,2,1.65,0
0.832,40.98,easy,0.823,3,0.52,0
0.923,34.1,easy,0.816,0,1.39,1
0.445,39.89,easy,0.67,1,0.85,1
0.603,25.28,easy,0.815,0,1.51,0
0.31,33.6,easy,0.615,0,1.67,0
0.745,13.81,medium,0.494,2,0.79,1
0.543,10.07,hard,0.553,3,1.54,0
0.02,38.64,hard,0.175,2,0.77,1
0.536,12.5,easy,0.613,0,1.72,1
0.331,36.91,medium,0.184,1,0.99,0
0.716,11.19,medium,0.511,0,0.02,1
0.562,1.51,easy,0.045,0,1.35,1
0.369,20.33,medium,0.883,1,0.09,1
0.687,31.41,hard,0.407,2,1.61,0
0.857,23.07,hard,0.802,2,0.59,1
0.443,28.16,easy,0.924,2,0.58,1
0.964,38.04,easy,0.028,1,0.8,0
0.08,37.48,easy,0.833,0,1.42,0
