Topic,Prompt,Answer,Difficulty,Quiz Only,Hints
Expressions,Simplify: 3x + 4x,7x,Easy,false,Combine like terms. || Both terms contain x. || Add the coefficients: 3 + 4.
Expressions,Simplify: 6a + 2a + 3,8a + 3,Easy,false,"Look for like terms. || Combine 6a and 2a first. || 6a + 2a = 8a, then bring down the +3."
Expressions,Simplify: 7y - 2y,5y,Easy,false,These are like terms. || Subtract the coefficients. || 7 − 2 = 5.
Expressions,Evaluate: 2x + 5 when x = 3,11,Easy,false,"Substitute x with 3. || Calculate 2(3) first. || 2·3 = 6, then 6 + 5 = 11."
Expressions,Simplify: 6 + 2x - 3,2x + 3,Easy,false,"Combine constants. || 6 − 3 is something simple. || 6 − 3 = 3, so expression is 2x + 3."
Expressions,Simplify: 4b + 0,4b,Easy,false,Adding zero does nothing. || Identify the variable term. || Zero is the additive identity.
Expressions,Simplify: 3(2x + 4),6x + 12,Medium,false,"Use the distributive property. || Multiply 3 by each term. || 3·2x = 6x, 3·4 = 12."
Expressions,Simplify: 5(y + 3) + 2y,7y + 15,Medium,false,Expand first. || Combine like terms after expanding. || 5y + 2y = 7y; 5·3 = 15.
Expressions,Simplify: 2a + 3(a + 2),5a + 6,Medium,false,Distribute 3 inside parentheses. || Combine like terms. || 2a + 3a = 5a; 3·2 = 6.
Expressions,Evaluate: 4x + 3 when x = 5,23,Medium,false,Substitute 5 for x. || Multiply before adding. || 4·5 = 20; 20 + 3 = 23.
Expressions,Evaluate: 2(3y + 5) - y when y = 2,20,Medium,false,Substitute y = 2. || Calculate inside parentheses first. || 3(2)+5=11; 2(11)=22; 22−2=20.
Expressions,Simplify: 3(m + 2) + 4(m - 1),7m + 2,Medium,false,Expand both parentheses. || Combine m terms. || 3m+4m = 7m; 6 − 4 = 2.
Expressions,Simplify: 2(2x + 5) + 3(x - 1),7x + 7,Medium,false,Distribute each multiplier. || Combine the x terms. || 4x + 3x = 7x; 10 − 3 = 7.
Expressions,Simplify: 2(3x + 4) - 5x,x + 8,Hard,false,Expand first. || Combine like terms carefully. || 6x − 5x = x; remaining constant is +8.
Expressions,Simplify: 3(a + 2b) + 2(2a - b),7a + 4b,Hard,false,Expand each group. || Group a terms and b terms. || 3a+4a = 7a; 6b−2b = 4b.
Expressions,"Evaluate: 3x + 2y - 5 when x = 2, y = 3",7,Hard,false,"Substitute x and y. || Calculate each term separately. || 3(2)=6, 2(3)=6 → 6+6−5=7."
